"model","run","DIC","WAIC","pD","n_credible","credible_set","gw_household","dairy_farm","forest","fiscal_indep"
"M6",8,5648.2839910204,5659.72616020309,141.297719836045,5,"dairy_farm;fiscal_indep;forest;gw_household;sewer_repair",1.07765984412415,1.04235058057822,0.836614350760217,0.861747140516394
"M6",9,5648.37424851208,5659.81788364489,139.984640967507,5,"dairy_farm;fiscal_indep;forest;gw_household;sewer_repair",1.07767811038397,1.04237324026645,0.836556791924157,0.861758346487826
"M6",10,5647.9866433797,5659.19873493685,143.283254296155,5,"dairy_farm;fiscal_indep;forest;gw_household;sewer_repair",1.07771998476887,1.04236253339764,0.836557406120621,0.861735443449968
"M6",11,5648.40706265963,5659.4944841606,142.150007878912,5,"dairy_farm;fiscal_indep;forest;gw_household;sewer_repair",1.07771389004958,1.04236132832128,0.836561738454683,0.861726879511168
"M6",12,5648.04098787891,5659.09835432256,144.453813479518,5,"dairy_farm;fiscal_indep;forest;gw_household;sewer_repair",1.07767679875379,1.04234195531641,0.836623564708198,0.861707493124295
"M6",13,5648.06361368429,5659.42200466166,142.645747442623,5,"dairy_farm;fiscal_indep;forest;gw_household;sewer_repair",1.07765568905259,1.0423510988606,0.836614875806386,0.861735224331702
"M6",14,5654.47750289638,5663.0222617468,125.850592793997,5,"dairy_farm;fiscal_indep;forest;gw_household;sewer_repair",1.07786204824907,1.04243716165133,0.836319914955993,0.861755490185831
"M6",15,5647.74562028189,5658.84046027474,144.986434940642,5,"dairy_farm;fiscal_indep;forest;gw_household;sewer_repair",1.0777087066251,1.04235180406603,0.836590502118622,0.861720864080149
"M6",16,5647.67963841646,5658.70776662241,146.074068312453,5,"dairy_farm;fiscal_indep;forest;gw_household;sewer_repair",1.07773197691723,1.0423523843768,0.836572375224106,0.861703477917452
"M6",17,5648.62616916825,5659.30959498277,143.050530188971,5,"dairy_farm;fiscal_indep;forest;gw_household;sewer_repair",1.07798641006346,1.04242093543861,0.836272334725032,0.861718954210671
"M6",18,5647.6951834537,5658.94972105968,144.670601634532,5,"dairy_farm;fiscal_indep;forest;gw_household;sewer_repair",1.07769529023336,1.0423507584978,0.836598393707813,0.861725456411791
"M6",19,5648.36022813892,5659.35867655113,142.867008546178,5,"dairy_farm;fiscal_indep;forest;gw_household;sewer_repair",1.07758786875209,1.0423309567251,0.83669962002791,0.861731741475746
"M6",20,5648.31771687306,5659.70279657046,140.881706927374,5,"dairy_farm;fiscal_indep;forest;gw_household;sewer_repair",1.07765590499742,1.04236187410328,0.836592487146265,0.861747540267913
