"region","mean","lo","hi"
"광주시서구",-0.164145450870292,-0.461526395295198,0.134640221646226
"경상북도영덕군",-0.164751032761551,-0.55254446967551,0.223202918113893
"전라남도함평군",-0.165644861427687,-0.493591201575582,0.164500028070236
"경상북도영양군",-0.1670207846666,-0.539129831478452,0.203513594368827
"전라남도화순군",-0.177607042547083,-0.428901753757319,0.0789353597597018
"경상북도포항시",-0.178964909010421,-0.490578371173886,0.134754416967627
"경상북도봉화군",-0.179441515664893,-0.50226202542939,0.136375755826988
"전라남도고흥군",-0.179445637396908,-0.714461975680077,0.358982252492802
"전라북도남원시",-0.182824964617244,-0.473256330814229,0.107826151252977
"강원도삼척시",-0.1918177864564,-0.54247535544354,0.152028594933953
"전라남도곡성군",-0.192525824822099,-0.510359888799036,0.125981811122961
"경상북도김천시",-0.200330123399576,-0.476179949747397,0.0719461894160634
"전라남도보성군",-0.211558174747013,-0.588330251768559,0.169589242212399
"광주시남구",-0.213170916672377,-0.506575886945348,0.081019454243393
"대구시수성구",-0.233934162112882,-0.514128614592016,0.0529260171654044
"광주시동구",-0.238567663788046,-0.56880075274232,0.0891396315890465
"강원도태백시",-0.240914976471185,-0.632417992880982,0.136545772283164
"전라남도나주시",-0.25029499830325,-0.537383518413007,0.0375252586129438
"강원도동해시",-0.261795904907065,-0.650560544869291,0.116579633643054
"경상북도의성군",-0.26862766588213,-0.586725172157518,0.0409708183530779
"경상북도청송군",-0.270739420932572,-0.589721285421969,0.04244237263972
"대구시남구",-0.291390248793047,-0.611892424903335,0.0335563063970286
"경상북도안동시",-0.300001765482782,-0.612379255802754,0.00184128002197257
"전라남도영암군",-0.30393707933065,-0.606479134705912,0.00180131759484622
"대구시북구",-0.317073929579424,-0.603106244094427,-0.0300841869473051
"경상남도함양군",-0.317524251163476,-0.66527321180892,0.0249337200101727
"경상북도영천시",-0.321177730861147,-0.602166808107395,-0.0394562455269146
"전라남도구례군",-0.331349183066269,-0.6830292590613,0.0144311316146962
"전라남도광양시",-0.33164915197114,-0.654717501154998,-0.00890979861353603
"대구시서구",-0.336914857922794,-0.657414836917516,-0.0145010715015322
"전라남도장흥군",-0.346973176506815,-0.733485935697079,0.035996368143749
"전라남도순천시",-0.352879217526265,-0.640072345844037,-0.0697399567497239
"경상남도거창군",-0.35538218830589,-0.663404273236004,-0.0579471494627655
"대구시중구",-0.355795969576117,-0.658568792264172,-0.0531139114656809
"경상북도경주시",-0.360182200178733,-0.661105371667497,-0.0574227533424303
"대구시군위군",-0.363398627461502,-0.687705425803141,-0.0478650321859997
"대구시동구",-0.373631262194905,-0.635152634410018,-0.113779635199925
"경상북도구미시",-0.376775046564992,-0.670031191257529,-0.0927527744662553
"전라남도목포시",-0.379775186809852,-0.739087092506581,-0.0209519329822332
"대구시달서구",-0.389264219306474,-0.665193470670831,-0.112771537429648
"경상북도칠곡군",-0.39414812041563,-0.668177645008314,-0.126838551932301
"전라남도무안군",-0.39976071558395,-0.731360476804809,-0.0736940358917866
"경상북도성주군",-0.402848469508126,-0.715613983730713,-0.0981188157342179
"대구시달성군",-0.420748409414297,-0.653548198756083,-0.191578779029234
"전라남도신안군",-0.425987505183471,-1.00736996739594,0.148862216078251
"부산시영도구",-0.430442125928366,-0.922225023997898,0.063976378130685
"경상북도청도군",-0.459409229936226,-0.751410283024461,-0.169600270686083
"부산시수영구",-0.468841179283431,-0.811431308771189,-0.117948682789903
"경상북도경산시",-0.469976280142013,-0.762353676464207,-0.182764252068058
"경상남도하동군",-0.474330003755818,-0.791666301577747,-0.168623354483725
"경상남도산청군",-0.484220230245856,-0.819829502807041,-0.158990838199956
"부산시서구",-0.517154916329151,-0.860393872515051,-0.167855992781958
"부산시사하구",-0.519911792803821,-0.858264217981522,-0.177848398564194
"전라남도강진군",-0.527136524771121,-0.978263823889974,-0.0867617126890108
"경상북도고령군",-0.529848900226146,-0.877432408820872,-0.195606808123719
"경상남도합천군",-0.536299920089169,-0.874045337577817,-0.213363829961285
"부산시해운대구",-0.555752277833202,-0.871508233392588,-0.23649332803057
"부산시중구",-0.557482209441811,-1.00493198035569,-0.108619613713875
"울산시중구",-0.562111596271124,-0.910146934802785,-0.214215987942807
"부산시강서구",-0.571946547343175,-0.884648591449774,-0.257013895720561
"울산시북구",-0.577526177435762,-0.898731309241463,-0.259125881392621
"경상남도창녕군",-0.585827833063227,-0.876474254555221,-0.306011938863449
"울산시울주군",-0.588912126585967,-0.865785320466252,-0.316500956438084
"경상남도의령군",-0.599358498249721,-0.971100254257589,-0.24244680475761
"전라남도여수시",-0.611283243109146,-1.01408336998536,-0.219718166118115
"경상남도함안군",-0.612210609634608,-0.98658969023481,-0.247627166562956
"부산시동래구",-0.625989018685091,-0.926326316755445,-0.325234152693784
"부산시기장군",-0.62637040388612,-0.959221991439369,-0.295125360368711
"경상남도밀양시",-0.652239489220611,-0.953147504502425,-0.359016929951503
"부산시부산진구",-0.663966806814235,-1.00094918767483,-0.329803731740149
"부산시연제구",-0.668173788870266,-1.01842935954784,-0.319489704059328
"부산시사상구",-0.674159292511158,-0.995245351047408,-0.356291197790407
"경상남도진주시",-0.678261473078368,-0.985706053239009,-0.38371270842447
"경상남도창원시",-0.697055693872325,-1.00111012177372,-0.405572425051371
"부산시금정구",-0.700110195331733,-1.02359721777648,-0.381443167246265
"울산시남구",-0.709935271374339,-1.04969325008718,-0.376414248865795
"부산시북구",-0.716164047414653,-0.997889583784027,-0.439064964250433
"전라남도해남군",-0.716246386816216,-1.22922553917931,-0.224606688139067
"부산시남구",-0.720614535639723,-1.07171369181009,-0.373975906951392
"경상남도사천시",-0.728556922524184,-1.1687278689188,-0.309931133490366
"부산시동구",-0.730151672831085,-1.12022288894186,-0.347637368020488
"경상남도양산시",-0.746969606627384,-1.03709298405441,-0.465255589769143
"경상남도통영시",-0.747075040557722,-1.27410501181194,-0.228302061268191
"울산시동구",-0.758685953533139,-1.18440345000962,-0.340876462576953
"경상남도김해시",-0.788915891693404,-1.07663628056591,-0.508599885317585
"경상남도고성군",-0.802780582609892,-1.23337909200636,-0.394972521055926
